,RandomForest,Logistic Regression,SVC
fit_time,0.2016089916229248,0.07503705024719239,1.27990665435791
score_time,0.03077831268310547,0.019465255737304687,0.2033137321472168
test_accuracy,0.7572791056345344,0.764905425167214,0.7575607923988525
train_accuracy,0.843599190360157,0.782283316070862,0.7876517949976751
test_precision,0.7371930512214989,0.745870319546124,0.7431822734609548
train_precision,0.8506895817003762,0.7685511239297739,0.7794044680773814
test_recall,0.7572791056345344,0.764905425167214,0.7575607923988525
train_recall,0.843599190360157,0.782283316070862,0.7876517949976751
test_f1,0.7315259288251759,0.7442749522478909,0.7396444609186485
train_f1,0.8329716267984246,0.7645005420157402,0.7719216926791084
test_roc_auc,0.8772145020843258,0.8695584542226309,0.8774582535733269
train_roc_auc,0.9612763700621827,0.8920671384842827,0.907814705774261
